,Title,Release Year,Locations,Fun Facts,Director,Writer,Actor 1,Actor 2,Actor 3
1152,The Princess Diaries,2001,Baker Beach,,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,
1153,Mission (aka City of Bars),2001,"The 500 Club (500 Guerrero Street, Mission District)",,Loren Marsh,Loren Marsh,Chris Coburn,,
1154,Looking,2014,Orphan Andy's,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1155,Jade,1995,Lombard & Hyde Streets,,William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
1156,Quitters,2015,923 Vermont St.,,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows
1157,The Last Thing He Told Me,2023,Oracle Park,,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Laura Dave,Jennifer Garner,Angourie Rice,Aisha Tyler
1158,"Play it Again, Sam",1972,Surf Theater (4520 Irving Street),,Herbert Ross,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts
1159,San Andreas,2015,Washington Square,,Brad Peyton,Allan Loeb,Dwayne Johnson,,
1160,Blue Jasmine,2013,Marina Blvd from Laguna to Baker,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
1161,Star Trek IV: The Voyage Home,1986,"Bessie Charmichael Elementary School (375 Seventh Street, SOMA)",,Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei
1162,Dirty Harry,1971,"Marina Green, Marina District","Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.",Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,
1163,Twisted,2004,,,Philip Kaufman,Sarah Thorp,Ashley Judd,Samuel L. Jackson,
1164,Experiment in Terror,1962,George Washington High School (600 32nd Avenue ),,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers
1165,Doctor Dolittle,1998,Telegraph Hill Blvd (Telegraph Hill),,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,
1166,DEVS,2020,Judah at 20th Ave,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
1167,Chance- Season 1 ep107,2016,Buena Vista betweeen Upper Terrace and Java St.,,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee
1168,Summertime,2015,Oasis Nightclub (298 11th St),,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
1169,Freebie and the Bean,1974,TransAmerica Pyramid (600 Montgomery Street),"The Pyramid was the tallest skyscraper west of the Mississippi from 1972-1974, until it was surpassed by Los Angeles' Aon Center.",Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit
1170,Foul Play,1978,Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street),,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith
1171,Shit and Champagne,2020,2644 Mission St,,D'Arcy Drollinger,D'Arcy Drollinger,D'Arcy Drollinger,Matthew Martin,Steven LeMay
1172,The Wedding Planner,2001,Pleasant Street at Taylor,,Adam Shankman,Pamela Falk,Jennifer Lopez,Matthew McConaughey,
1173,Looking Season 2 ep 203,2015,"Boxer Stadium, 166 Havelock Street",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1174,Etruscan Smile,2017,"Marriott Marquis, 780 Mission Street","The Marriott Marquis opened on October 17, 1989, the day of the Loma Prieta earthquake.[7] With better earthquake proofing than several nearby hotels, the building only lost a single window.[7]",Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
1175,The Phone/Jexi,2019,Regency Ballroom - 1290 Sutter St,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1176,Looking,2014,Casa Lucas Market at 2934 24th St,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1177,The Dead Pool,1988,San Francisco Drydock (The Dogpatch),,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson
1178,The Lineup,1958,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species.",Don Siegel,Stirling Silliphant,Eli Wallach,Robert Keith,Richard Jaeckel
1179,Chance Season 2,2017,Jefferson St at Taylor St,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
1180,Parks and Recreation,2014,Columbus and Green,,Dean Holland,Greg Daniels,Amy Poehler,,
1181,Boys and Girls,2000,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
1182,Chance - Season 1 ep105,2016,60 Leavenworth St.,,Victoria Morrow,Roxann Dawson,Hugh Laurie,Gretchen Mol,Ethan Suplee
1183,A View to a Kill,1985,"Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)","This is SF's only drawbridge, and was named after Francis Joseph ""Lefty"" O'Doul, a local baseball hero.",John Glen,Richard Maibaum,Roger Moore,Christopher Walken,Tanya Roberts
1184,GirlBoss,2017,Fillmore and Waller,,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea
1185,Looking,2014,Willy's Barber Shop,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1186,Looking,2014,Starbucks at 333 O'Farrell St.,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1187,Goliath- Season 4,2021,Waverly between Clay and Washington,,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde
1188,Sense8 - Season 2,2016,"Billy Goat Hill, Castro St. & 30th St.",This park was the location of a popular swing with great views of the City.,Wachowski Siblings,"J. Michael Straczynski, Wachowiski Siblings",Jamie Clayton,Daryl Hannah,Naveen Andrews
1189,Silicon Valley Season 4,2017,Howard St between 3rd and 4th St.,,Mike Judge,John Altschuler,Thomas Middleditch,T.J. Miller,Josh Brener
1190,Herbie Rides Again,1974,Castagnola's Restaurant (Fisherman's Wharf),,Robert Stevenson,Bill Walsh,Helen Hayes,Ken Berry,Stefanie Powers
1191,Chance Season 2,2017,Heron @ Berwick (off 8th and Harrison St),,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
1192,The Right Stuff,1983,"American Can Company (Between Illinois & Kentucky, 20th and 22nd Streets)",,Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris
1193,The Presidio,1988,Montgomery & Vallejo Streets (Telegraph Hill),,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan
1194,Pal Joey,1957,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",George Sidney,Dorothy Kingsley,Rita Hayworth,Frank Sinatra,Kim Novak
1195,Getting Even with Dad,1994,M.H. de Young Memorial Museum (Golden Gate Park),,Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,
1196,D.O.A,1950,Southern Pacific Memorial Hospital (1400 Fell Street),,Rudolph Mate,Russell Rouse,Edmond O'Brien,Pamela Britton,Luther Adler
1197,The OA Part II,2019,SFPD Headquarters - 3rd St,,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson
1198,Looking Season 2 ep 207,2015,"Sparky's Diner, 242 Church Street",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1199,The Towering Inferno,1974,"San Francisco Fire Station 38 (2150 California Street, Pacific Heights)",,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden
1200,The Last Black Man in San Francisco,2019,Donahue and Innes Ave,,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover
1201,Boys and Girls,2000,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Robert Iscove,The Drews,"Freddie Prinze, Jr.",Alyson Hannigan,
1202,Time After Time,1979,Hyatt Regency Hotel (5 Embarcadero Center),,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner
1203,Vegas in Space,1992,Corona Heights Park,,Phillip R. Ford,Doris Fish,Doris Fish,Miss X,Ginger Quest
1204,Alcatraz,2012,Chestnut St. from Larkin to Columbus,,J.J. Abrams,Steven Lilien,Sarah Jones,Jorge Garcia,
1205,The Lady from Shanghai,1947,Mandarin Theatre (1021 Grant Avenue),The Mandarin Theatre was renamed the Sun Sing Theatre in 1949. It closed 1986.,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane
1206,A Smile Like Yours,1997,75 California Street,,Keith Samples,Keith Samples & Kevin Meyer,Greg Kinnear,Lauren Holly,
1207,Need For Speed,2014,Embarcadero from Broadway to Folsom,,Scott Waugh,George Gatins,Aaron Paul,Dominic Cooper,Imogen Poots
1208,The Phone/Jexi,2019,Farley's Coffee - 1315 18th St,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1209,The Dead Pool,1988,"Silver Restaurant (737 Washington Street, Chinatown)",,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson
1210,Vertigo,1958,Brocklebank Apartments (1000 Mason Street),,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes
1211,Nine Months,1995,Pierce Street between Pacific & Green Streets,,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams
1212,Invasion of the Body Snatchers,1978,Chinatown,"First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US.",Philip Kaufman,Jack Finney,Donald Sutherland,Jeff Goldblum,Brooke Adams
1213,Looking Season 2 ep 204,2015,"Larken Street Youth Services, 1138 Sutter Street",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1214,Foul Play,1978,War Memorial Opera House (401 Van Ness Avenue),In 1945 the United Nations had its first conference at The War Memorial Opera House.,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith
1215,A Taiwanese Tale of Two Cities,2018,738 Washington St,,Tien-Lun Yeh,"Ling-Hui Chen, Nancy Chen, Chih-Chi Fan, Chia-Hui Lin",Tammy Cheng,Peggy Tseng,Shen-Hao Wen
1216,Magnum Force,1973,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan
1217,Etruscan Smile,2017,Jones @ Broadway,,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
1218,Copycat,1995,Alta Plaza Park,The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.,Jon Amiel,Ann Biderman,Sigourney Weaver,Holly Hunter,
1219,Chance- Season 1 ep102,2016,"Duboce St., Duboce Café",,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee
1220,"Looking ""Special""",2016,"Philz Coffee, 1258 Minnesota Street",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1221,The Matrix Resurrections,2021,Powell between California and Market,,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris
1222,Terminator - Genisys,2015,Pine St. between Market and Kearny,,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,
1223,Broken-A Modern Love Story,2010,0-100 block Halleck Street,,Ryan K. Whiting,Ryan K. Whiting,,,
1224,Nash Bridges,2022,"Pier 7, San Francisco",,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
1225,"Murder in the First, Season 2",2015,Sue Bierman Park,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1226,Big Sur,2013,"Tosca Café (242 Columbus Avenue, North Beach)",,Michael Polish,Jack Kerouac & Michael Polish,Josh Lucas,Kate Bosworth,Stana Katic
1227,Venom,2018,Taylor St Hill btwn Pacific and Greenwich,,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
1228,Class Action,1991,Bix Restaurant (56 Gold Street),,Michael Apted,Carolyn Shelby,Gene Hackman,Mary Elizabeth Mastrantonio,
1229,Julie and Jack,2003,,,James Nguyen,James Nguyen & Joe Bright,Jenn Gotzon,Tippi Hedren,
1230,Dim Sum: A Little Bit of Heart,1985,"Li Po (916 Grant Avenue at Washington, Chinatown)",,Wayne Wang,Terrel Seltzer,Laureen Chew,Kim Chew,Victor Wong
1231,Women is Losers,2020,MUNI Yard - 425 Geneva Ave,,Lissette Feliciano,Lissette Feliciano,Lorenza Izzo,Simu Liu,Liza Weil
1232,Pushing Dead,2016,"Ele Nino Traiing Cetner, 2920 3rd Street",,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
1233,Basic Instinct,1992,Gibb Street (Chinatown),,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza
1234,Super Pumped: The Battle for Uber,2022,"650 Howard Street at New Montgomery, Gold Club",,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé
1235,Ant-Man,2015,California between Kearney and Davis,Driving shots,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,
1236,Dream for an Insomniac,1996,Elbo Room (647 Valencia Street),"This location is called the ""Café Blue Eyes"" in the film.",Tiffanie DeBartolo,Tiffanie DeBartolo,Ione Skye,Jennifer Aniston,
1237,Dr. Dolittle 2,2001,"West Chrissy Field (Presidio, Golden Gate National Recreation Area)",This movie was the first to film in the revamped Chrissy Field Picnic Area.,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,
1238,Birth of the Dragon,2016,Hyde at Union,,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
1239,Street Music,1981,,,Jenny Bowen,Jenny Bowen,Elizabeth Daily,Larry Breeding,Ned Glass
1240,Milk,2008,Lower Haight Street,,Gus Van Sant,Dustin Lance Black,Sean Penn,Emile Hirsch,
1241,Crackers,1984,La Rondalla (Valencia and 20th Streets),,Louis Malle,Jeffrey Fiskin,Donald Sutherland,Jack Warden,Sean Penn
1242,Etruscan Smile,2017,Broadway @ Jones Streets,,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
1243,So I Married an Axe Murderer,1993,City Light Bookstore (261 Columbus Avenue),,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
1244,Mrs. Doubtfire,1993,Chrissy Field,Chrissy Field was originally an airfield for the Presidio Army Base.,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan
1245,The Fog of War,2003,,,Errol Morris,,Robert McNamara,,
1246,Midnight Lace,1960,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",David Miller,Ivan Goff,Doris Day,Rex Harrison,John Gavin
1247,Jade,1995,Palace of Fine Arts,"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",William Friedkin,Joe Eszterhas,David Caruso,Linda Fiorentino,Chazz Palminteri
1248,Time After Time,1979,Chestnut & Divisadero Streets (Marina District),,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner
1249,Ant-Man and the Wasp,2018,Telegraph Hill/North Beach,VFX and B-roll Shots,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas
1250,Nash Bridges,2021,St. Louis Alley at Jackson,,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
1251,The Phone/Jexi,2019,Grid around Haight Ashbury,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1252,Always Be My Maybe,2019,Palace of Fine Arts (3301 Lyon Street),,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves
1253,When a Man Loves a Woman,1994,1521 Masonic Avenue at Piedmont Street,,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,
1254,Bullitt,1968,Mansell & University Streets (Visitacion  Valley),,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn
1255,High Crimes,2002,Chase H & Q  (1 Bush Street at Sansome),,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,
1256,Alive,2020,Connecticut at 19th St,,Uta Briesewitz,Jason Tracey,Ryan Phillippe,Mageina Tovah,Katrina Law
1257,Magnum Force,1973,280 Freeway at Pennsylvania and Mariposa Streets,,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan
1258,Looking Season 2 ep 210,2015,Twin Peaks Park,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1259,The Other Sister,1999,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Garry Marshall,Garry Marshall,Juliette Lewis,Diane Keaton,
1260,Nine Months,1995,Chrissy Field,Chrissy Field was originally an airfield for the Presidio Army Base.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams
1261,Vertigo,1958,Gough & Eddy Streets (Western Addition),,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes
1262,DEVS,2020,21st St at San Carlos,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
1263,Until the End of the World,1991,"Tosca Café (242 Columbus Avenue, North Beach)",,Wim Wenders,Wim Wenders,Solveig Dommartin,,
1264,Zodiac,2007,SF Chronicle Building (901 Mission St),,David Fincher,James Vanderbilt,Jake Gyllenhaal,Mark Ruffalo,
1265,Edtv,1999,Moose's Restaurant (1652 Stockton),,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,
1266,Fearless,1993,Bank of America Building (555 California Street),"The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez
1267,Sudden Fear,1952,Brocklebank Apartments (1000 Mason Street),,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Gloria Grahame
1268,The Conversation,1974,One Embarcadero Center (Financial District),,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield
1269,Family Plot,1976,Grace Cathedral Episcopal Church (1100 California Street),Grace Cathedral Episcopal Church is the West Coast's largest Episcopalian cathedral.,Alfred Hitchcock,Ernest Lehman,Karen Black,Bruce Dern,Barbara Harris
1270,DEVS,2020,Castro at 18th St,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
1271,The Diary of a Teenage Girl,2015,Tonic,,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni
1272,"Murder in the First, Season 1",2014,Palace of Fine Arts (3301 Lyon Street),,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1273,Blue Jasmine,2013,2898 Broadway,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
1274,Looking Season 2 ep 208,2015,950 Mason Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1275,Godzilla,2014,Stockton & Clay St,,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
1276,Panther,1995,,,Mario Van Peebles,Mario Van Peebles,Kadeem Hardison,Bookeem Woodbine,
1277,Blue Jasmine,2013,Aub Zam Zam Bar,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
1278,Birth of the Dragon,2016,Twin Peaks Blvd.,,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia
1279,Etruscan Smile,2017,Hooker Alley Garden on Mason between Bush & Pine,,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
1280,Sweet November,2001,Hotel Majestic (1500 Sutter Street),,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,
1281,Chance - Season 1 Pilot,2016,Antonio Alley,,Lenny Abrahamson,Alexandra Cunningham and Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
1282,"Murder in the First, Season 3",2016,Red's Java House (Pier 30),,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1283,Big Eyes,2014,1101 Filbert St.,,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz
1284,"Murder in the First, Season 1",2014,9 Calhoun Terrace,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1285,Summertime,2015,Duboce Park,,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz
1286,The Game,1997,Presidio (Golden Gate National Recreation Area),"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.",David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
1287,Bullitt,1968,20th & Vermont Streets (Potrero Hill),The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St.,Peter Yates,Alan R. Trustman,Steve McQueen,Jacqueline Bisset,Robert Vaughn
1288,What's Up Doc?,1972,22nd Avenue & Balboa Street (Richmond District),,Peter Bogdanovich,Peter Bogdanovich & Buck Henry,Barbra Streisand,Ryan O'Neal,
1289,"Murder in the First, Season 2",2015,Treasure Island,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1290,Chance- Season 1 ep103,2016,"San Francisco Art Institute, 800 Chestnut",,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee
1291,Susan Slade,1961,"On Board the SS President Cleveland, docked at Pier 50",,Delmer Daves,Delmer Daves,Troy Donahue,Connie Stevens,Dorothy McGuire
1292,Time After Time,1979,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner
1293,The Presidio,1988,200 Block of Sansome Street (Financial District),,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan
1294,Red Widow,2013,Golden Gate Ave & Jones,,Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.
1295,Americana,2015,Treasure Island,,Zachary Shedd,Zachary Shedd,Kelli Garner,Jack Davenport,Peter Coyote
1296,Shang-Chi and the Legend of the Ten Rings,2021,Noe between Alvarado and Liberty,,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina
1297,The Phone/Jexi,2019,"Grid around North Beach, Chinatown, Financial District",,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
1298,Looking Season 2 ep 203,2015,"Balboa pool Lot, San Jose Avenue & Havelock St",,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
1299,Venom,2018,"Epic Steakhouse, 369 Embarcadero",,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
1300,Blue Jasmine,2013,2915 16th St.,,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard
1301,Doctor Dolittle,1998,2107 Union Street,,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,
1302,Fearless,1993,90 Gold Street,,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez
1303,"Murder in the First, Season 2",2015,Stevenson Alley,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
1304,Looking,2014,24th and Church St.,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett
1305,Blindspotting (Season 2),2023,"Broadway Studios, 435 Broadway",,"Rafael Casal, Jess Wu Calder,","Brittany Miller, Benjamin Earl Turner, Rafael Casal & Daveed Diggs, Sarah LaBrie, Obehi Janice, Sanjay Shah, Nyesha Littlejohn & Susan Park",Jasmine Cephas Jones,Jaylen Barron,Rafael Casal
1306,San Andreas,2015,Grant St. at Bush St.,Characters walk down street and it's totally wrecked from a massive earthquake,Brad Peyton,Allan Loeb,Dwayne Johnson,,
1307,Point Blank,1967,"Fort Point (Presidio, Golden Gate National Recreation Area)","Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.",John Boorman,Alexander Jacobs,Lee Marvin,Angie Dickinson,Keenan Wynn
1308,DEVS,2020,North Beach - Romolo at Fresno and Vallejo at Kearny,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
1309,Chance- Season 1 ep104,2016,"Agua Vista Park at Mission Rock, 817 Terry A Francois Blvd.",,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee
1310,Goliath- Season 4,2021,Hyde and Lombard,,"Billy Bob Thornton, Lawrence Trilling, Derek Johansen","David E. Kelley, Jonathan Shapiro",Billy Bob Thornton,Nina Arianda,Tania Raymonde
1311,Star Trek IV: The Voyage Home,1986,"Marina Green, Marina District","Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition.",Leonard Nimoy,Steve Meerson,William Shatner,Leonard Nimoy,George Takei
1312,Pushing Dead,2016,1069 Tennessee Street,,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert
