,Title,Release Year,Locations,Fun Facts,Director,Writer,Actor 1,Actor 2,Actor 3
55,Fearless,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)",SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County.,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez
56,DEVS,2020,Clarion Alley,,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha
57,Ant-Man,2015,Grant between Bush and Broadway,Driving shots,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,
58,Godzilla,2014,Broadway & Columbus,,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston
59,Nash Bridges,2021,"1025 Columbus Avenue, Bimbo's",,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol
60,True Believer,1989,,,Joseph Ruben,Wesley Strick,James Woods,"Robert Downey, Jr.",
61,The Conversation,1974,Alta Plaza Park (Steiner Street),The park was originally a rock quarry and served as a campground for many survivors of the 1906 earthquake. The site was converted to a park in 1910.,Francis Ford Coppola,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield
62,Big Eyes,2014,Caffe Trieste,,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz
63,The Enforcer,1976,Hall of Justice,,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino
64,"Murder in the First, Season 2",2015,435 Broadway,,Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale
65,The Princess Diaries,2001,724 Brazil Avenue,,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,
66,So I Married an Axe Murderer,1993,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)",,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,
67,The Game,1997,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger
68,The Phone/Jexi,2019,18th btwn Dolores and Church,,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena
69,Terminator - Genisys,2015,16th and Utah,"Helicopter flies over Utah St. from 16th, rises up before freeway",Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,
70,The Matrix Resurrections,2021,"House of Nanking, 919 Kearny",,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris
71,Shang-Chi and the Legend of the Ten Rings,2021,Jones between Pine and O'Farrell,,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina
72,Vertigo,1958,Park Hill Sanatorium (351 Buena Vista Avenue East),This location is now a condominium complex.,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes
73,Chance Season 2,2017,Embarcadero between Market to Fillmore St,,Rozann Dawson,Alexandra Cunningham,Hugh Laurie,Greta Lee,Ethan Suplee
74,Etruscan Smile,2017,"Andronico's, 1200 Irving Street",,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch
75,Looking Season 2 ep 202,2015,1400 16th Street,,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett
76,Venom,2018,Financial District,,Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed
